StudentID,PositionTitle,HiringStatus,CompanyName,CompanyLevel,FinalEvaluation,GradutationDate
301,Software Engineer,Hired,"Watson, Case and Frederick",multinational,90,2023-11-09
302,Data Analyst,Not Hired,No Company,None,70,2023-07-05
303,Software Engineer,Hired,"Taylor, Lee and Lucas",multinational,70,2024-05-13
304,UX Designer,Hired,"Mckinney, Steele and Atkinson",national,70,2024-06-27
305,Network Admin,Hired,"Oconnell, Grant and Parker",national,90,2023-07-09
306,Data Analyst,Hired,Tucker-Wilcox,multinational,90,2025-05-27
307,Data Analyst,Hired,Lopez-Kirby,startup,90,2023-12-20
308,Software Engineer,Hired,"Gross, Riddle and Gonzales",national,70,2025-04-22
309,UX Designer,Hired,"Strickland, Ortiz and Shields",multinational,80,2023-07-19
310,Network Admin,Hired,Simon-Robinson,startup,70,2023-09-16
311,Software Engineer,Hired,Edwards LLC,startup,90,2024-10-26
312,Network Admin,Hired,"Hicks, Harris and Cruz",national,70,2024-10-11
313,UX Designer,Hired,"Kennedy, Manning and Bennett",national,80,2024-06-17
314,Software Engineer,Not Hired,No Company,None,90,2024-11-20
315,UX Designer,Hired,"Huber, Haas and Reid",startup,90,2025-04-22
316,UX Designer,Hired,Cline LLC,startup,80,2023-09-05
317,Network Admin,Hired,"Cole, Garcia and Roberts",national,80,2024-10-16
318,UX Designer,Hired,"Davis, Suarez and Davis",national,70,2023-10-29
319,Data Analyst,Hired,"Smith, Mayo and Valentine",national,70,2023-11-30
320,Network Admin,Hired,Garcia-Gonzalez,multinational,90,2024-11-19
321,Software Engineer,Not Hired,No Company,None,80,2024-03-26
322,Network Admin,Not Hired,No Company,None,90,2025-03-15
323,Data Analyst,Hired,Romero Ltd,multinational,80,2025-02-10
324,Data Analyst,Hired,Lowe-Rogers,multinational,80,2025-06-04
325,Network Admin,Hired,Williams Group,multinational,80,2024-03-25
326,Software Engineer,Hired,"Tran, Leblanc and Newton",multinational,90,2024-11-18
327,UX Designer,Hired,Bird Group,startup,70,2024-10-02
328,Network Admin,Hired,"Ward, Le and Henderson",national,70,2023-12-07
