InstructorID,ExpertiseArea,HiringDate,ContractType,InstructorDegrea
1,AI,2017-12-23,Internal,Bechlor
2,AI,2022-05-03,External,PHD
3,Programming,2020-06-05,External,PHD
4,Programming,2023-12-22,External,Bechlor
5,AI,2019-02-20,External,Bechlor
6,Programming,2016-11-29,Internal,PHD
7,Networks,2019-10-29,Internal,Bechlor
8,Programming,2019-01-13,Internal,PHD
9,Programming,2021-12-10,Internal,PHD
10,AI,2016-02-07,External,PHD
11,Programming,2023-12-22,Internal,Bechlor
12,Networks,2022-12-18,External,PHD
13,Programming,2022-08-30,Internal,Bechlor
14,AI,2018-03-16,External,Bechlor
15,Networks,2020-10-06,Internal,Master
16,AI,2022-05-22,Internal,Bechlor
17,Programming,2018-08-16,Internal,Bechlor
18,Programming,2019-09-26,Internal,PHD
19,AI,2015-11-02,Internal,PHD
20,Networks,2015-08-13,Internal,Bechlor
21,AI,2022-03-11,External,Master
22,Programming,2022-08-20,Internal,Bechlor
23,Programming,2018-12-03,External,PHD
24,Programming,2019-12-07,External,PHD
25,Networks,2017-05-01,External,Master
26,AI,2015-10-26,External,PHD
27,Programming,2021-05-28,External,Master
28,AI,2019-07-14,Internal,PHD
29,Networks,2024-02-06,Internal,PHD
30,AI,2020-06-10,External,PHD
31,Programming,2020-11-02,Internal,Bechlor
32,Programming,2019-07-22,Internal,PHD
33,Programming,2022-06-24,Internal,Bechlor
34,Programming,2017-12-05,External,PHD
35,Programming,2021-01-03,Internal,Master
36,Programming,2023-04-14,External,PHD
37,AI,2020-03-01,External,Bechlor
38,Programming,2016-11-27,Internal,Master
39,AI,2023-03-26,Internal,Bechlor
40,Networks,2017-07-21,Internal,PHD
41,Programming,2023-05-06,External,PHD
42,Programming,2017-12-26,Internal,Bechlor
43,Programming,2019-07-31,External,Master
44,Networks,2018-06-24,External,Bechlor
45,Networks,2018-08-20,Internal,PHD
46,AI,2017-09-11,Internal,Master
47,Programming,2016-06-14,Internal,PHD
48,Networks,2020-11-25,External,Bechlor
49,Networks,2022-07-10,Internal,Bechlor
50,Networks,2016-03-24,External,Bechlor
51,AI,2018-12-25,External,PHD
52,Programming,2016-04-01,External,Bechlor
53,AI,2021-12-20,External,Master
54,AI,2017-08-09,External,Bechlor
55,Programming,2023-09-19,External,Master
56,Networks,2019-01-07,Internal,Bechlor
57,AI,2016-07-13,External,PHD
58,Programming,2019-12-29,Internal,PHD
59,AI,2023-06-07,Internal,Bechlor
60,AI,2022-02-27,Internal,PHD
61,Programming,2023-05-01,Internal,Master
62,AI,2022-12-07,External,Bechlor
63,AI,2017-01-27,External,Bechlor
64,Networks,2016-07-17,Internal,Master
65,Programming,2015-10-30,External,Bechlor
66,AI,2021-03-06,External,Master
67,AI,2019-01-02,Internal,Bechlor
68,Networks,2019-03-18,Internal,Master
69,AI,2019-02-24,External,Bechlor
70,AI,2017-09-16,Internal,PHD
71,Networks,2023-07-01,External,PHD
72,Networks,2024-01-21,Internal,Master
73,Programming,2021-10-04,Internal,PHD
74,Networks,2020-01-13,Internal,Bechlor
75,AI,2019-05-26,Internal,PHD
76,Networks,2021-04-04,External,Bechlor
77,Networks,2023-07-24,Internal,Bechlor
78,AI,2024-03-21,External,PHD
79,AI,2022-11-15,Internal,Master
80,Networks,2023-06-09,External,Master
81,Networks,2020-11-26,External,PHD
82,Networks,2019-07-08,External,PHD
83,AI,2017-05-11,External,Bechlor
84,Networks,2021-04-13,Internal,Bechlor
85,Programming,2021-04-01,External,PHD
86,AI,2018-12-11,External,Master
