OptionID|OptionText|QuestionID|IsCorrect
9|Predictive Analytics|3|1
10|Descriptive Analytics|3|0
11|Diagnostic Analytics|3|0
12|Prescriptive Analytics|3|0
27|True|8|0
28|False|8|1
35|Java|11|1
36|Swift|11|0
37|Kotlin|11|0
38|Dart|11|0
39|True|12|0
40|False|12|1
43|Adjusts to screen size|14|1
44|Fixed layout|14|0
45|Hardcoded dimensions|14|0
46|Print layout|14|0
55|Java|17|1
56|Swift|17|0
57|Kotlin|17|0
58|Dart|17|0
63|Correct technical answer|19|1
64|Close but wrong|19|0
65|Unrelated concept|19|0
66|Random guess|19|0
69|True|21|0
70|False|21|1
79|True|24|1
80|False|24|0
83|HTTPS|26|1
84|FTP|26|0
85|SMTP|26|0
86|HTTP|26|0
93|True|29|1
94|False|29|0
95|Correct technical answer|30|1
96|Close but wrong|30|0
97|Unrelated concept|30|0
98|Random guess|30|0
103|HTTPS|33|1
104|FTP|33|0
105|SMTP|33|0
106|HTTP|33|0
109|True|35|0
110|False|35|1
111|Java|36|1
112|Swift|36|0
113|Kotlin|36|0
114|Dart|36|0
115|True|37|1
116|False|37|0
123|Correct technical answer|40|1
124|Close but wrong|40|0
125|Unrelated concept|40|0
126|Random guess|40|0
137|True|44|0
138|False|44|1
141|True|46|0
142|False|46|1
143|True|47|0
144|False|47|1
153|HTTPS|51|1
154|FTP|51|0
155|SMTP|51|0
156|HTTP|51|0
159|Predictive Analytics|53|1
160|Descriptive Analytics|53|0
161|Diagnostic Analytics|53|0
162|Prescriptive Analytics|53|0
163|Extract, Transform, Load|54|1
164|Enter, Transfer, Load|54|0
165|Export, Translate, Link|54|0
166|Extract, Translate, Load|54|0
167|Java|55|1
168|Swift|55|0
169|Kotlin|55|0
170|Dart|55|0
173|True|57|1
174|False|57|0
177|True|59|0
178|False|59|1
179|True|60|1
180|False|60|0
185|Email scam|62|1
186|Firewall|62|0
187|Ransomware|62|0
188|Backdoor|62|0
189|True|63|1
190|False|63|0
191|HTTPS|64|1
192|FTP|64|0
193|SMTP|64|0
194|HTTP|64|0
197|Worm|66|1
198|Firewall|66|0
199|Trojan|66|0
200|Phishing|66|0
201|Worm|67|1
202|Firewall|67|0
203|Trojan|67|0
204|Phishing|67|0
219|True|73|0
220|False|73|1
223|Java|75|1
224|Swift|75|0
225|Kotlin|75|0
226|Dart|75|0
233|True|78|1
234|False|78|0
245|True|82|1
246|False|82|0
247|Correct technical answer|83|1
248|Close but wrong|83|0
249|Unrelated concept|83|0
250|Random guess|83|0
251|Correct technical answer|84|1
252|Close but wrong|84|0
253|Unrelated concept|84|0
254|Random guess|84|0
261|Extract, Transform, Load|87|1
262|Enter, Transfer, Load|87|0
263|Export, Translate, Link|87|0
264|Extract, Translate, Load|87|0
265|Java|88|1
266|Swift|88|0
267|Kotlin|88|0
268|Dart|88|0
269|Adjusts to screen size|89|1
270|Fixed layout|89|0
271|Hardcoded dimensions|89|0
272|Print layout|89|0
283|Java|93|1
284|Swift|93|0
285|Kotlin|93|0
286|Dart|93|0
287|Adjusts to screen size|94|1
288|Fixed layout|94|0
289|Hardcoded dimensions|94|0
290|Print layout|94|0
307|Java|100|1
308|Swift|100|0
309|Kotlin|100|0
310|Dart|100|0
315|True|103|0
316|False|103|1
327|Worm|108|1
328|Firewall|108|0
329|Trojan|108|0
330|Phishing|108|0
337|True|111|0
338|False|111|1
339|True|112|1
340|False|112|0
343|Java|114|1
344|Swift|114|0
345|Kotlin|114|0
346|Dart|114|0
355|True|117|0
356|False|117|1
361|True|119|1
362|False|119|0
365|True|121|1
366|False|121|0
375|True|124|1
376|False|124|0
381|True|126|1
382|False|126|0
387|Worm|129|1
388|Firewall|129|0
389|Trojan|129|0
390|Phishing|129|0
391|True|130|0
392|False|130|1
401|True|133|0
402|False|133|1
405|True|135|1
406|False|135|0
407|True|136|1
408|False|136|0
409|Correct technical answer|137|1
410|Close but wrong|137|0
411|Unrelated concept|137|0
412|Random guess|137|0
421|True|140|0
422|False|140|1
435|True|144|1
436|False|144|0
439|Email scam|146|1
440|Firewall|146|0
441|Ransomware|146|0
442|Backdoor|146|0
443|Email scam|147|1
444|Firewall|147|0
445|Ransomware|147|0
446|Backdoor|147|0
457|True|151|0
458|False|151|1
461|True|153|0
462|False|153|1
463|True|154|0
464|False|154|1
465|Java|155|1
466|Swift|155|0
467|Kotlin|155|0
468|Dart|155|0
471|Predictive Analytics|157|1
472|Descriptive Analytics|157|0
473|Diagnostic Analytics|157|0
474|Prescriptive Analytics|157|0
479|HTTPS|159|1
480|FTP|159|0
481|SMTP|159|0
482|HTTP|159|0
483|Tableau|160|1
484|Excel|160|0
485|MS Word|160|0
486|Notepad|160|0
491|True|162|0
492|False|162|1
493|Java|163|1
494|Swift|163|0
495|Kotlin|163|0
496|Dart|163|0
497|True|164|1
