ExamID,StudentID,Score
4,301,69.54
5,301,81.3
6,301,83.99
236,301,72.09
237,301,69.32
238,301,91.3
201,301,81.63
202,301,60.22
203,301,62.3
230,301,57.56
231,301,84.2
232,301,56.16
83,301,67.79
84,301,57.77
85,301,93.45
51,302,68.93
52,302,81.79
53,302,86.02
34,302,82.36
35,302,68.38
41,302,61.03
42,302,74.9
7,302,54.16
8,302,92.29
9,302,80.31
29,303,59.63
30,303,52.0
31,303,96.95
57,303,62.24
58,303,91.51
104,303,88.65
105,303,62.28
1,304,87.62
2,304,78.23
3,304,84.84
221,304,93.69
222,304,85.15
223,304,53.66
24,304,57.16
25,304,71.87
26,304,79.97
80,305,81.32
81,305,92.57
82,305,69.0
135,305,60.43
136,305,98.54
137,305,87.75
59,305,76.77
60,305,62.89
29,306,74.54
30,306,77.69
31,306,90.07
27,306,74.85
28,306,67.12
215,306,53.58
216,306,99.27
104,306,94.78
105,306,95.97
201,307,56.97
202,307,54.71
203,307,88.95
4,307,83.36
5,307,51.52
6,307,69.39
18,307,67.65
19,307,85.02
20,307,69.65
1,308,59.2
2,308,72.26
3,308,89.65
152,308,61.02
153,308,94.37
191,308,53.18
192,308,57.22
193,308,59.15
117,308,63.98
118,308,97.15
160,308,61.03
161,308,90.39
73,309,62.45
74,309,97.51
230,309,68.27
231,309,69.61
232,309,96.52
201,309,69.3
202,309,73.46
203,309,70.54
186,310,76.45
187,310,75.57
80,310,79.43
81,310,57.99
82,310,63.93
13,310,90.11
14,310,64.4
239,310,68.38
240,310,56.02
13,311,65.34
14,311,81.27
224,311,65.75
225,311,97.93
226,311,78.93
165,311,98.53
166,311,70.94
18,311,69.15
19,311,96.44
20,311,92.94
32,312,57.15
33,312,83.61
64,312,93.32
65,312,88.3
66,312,87.53
67,312,93.79
83,313,85.55
84,313,58.97
85,313,97.23
201,313,86.98
202,313,85.11
203,313,80.69
4,313,79.22
5,313,60.78
6,313,84.24
73,313,63.46
74,313,56.92
27,314,56.55
28,314,55.51
108,314,71.85
109,314,89.13
41,314,68.56
42,314,50.22
13,314,57.37
14,314,59.79
18,314,94.65
19,314,73.07
20,314,99.2
80,315,84.48
81,315,92.73
82,315,83.41
110,315,84.95
111,315,64.34
147,315,67.24
148,315,74.64
149,315,78.36
247,315,92.9
248,315,56.85
249,315,55.81
176,315,75.99
177,315,84.91
178,315,52.6
230,316,51.21
231,316,61.51
232,316,80.55
83,316,56.7
84,316,64.63
85,316,77.78
236,316,92.04
237,316,97.19
238,316,97.37
4,316,88.71
5,316,59.65
6,316,82.26
80,317,94.04
81,317,84.67
82,317,96.32
128,317,84.94
129,317,63.49
239,317,53.2
240,317,96.13
186,317,74.41
187,317,88.3
13,317,72.26
14,317,69.77
1,318,70.35
2,318,60.99
3,318,57.03
89,318,93.14
90,318,98.98
43,318,76.01
44,318,60.02
45,318,55.64
160,319,99.42
161,319,94.16
176,319,91.27
177,319,51.35
178,319,97.46
233,319,52.45
234,319,94.41
235,319,83.79
135,319,64.61
136,319,95.91
137,319,56.33
165,319,90.86
166,319,88.66
204,320,93.48
205,320,60.18
188,320,99.64
189,320,60.63
190,320,92.46
239,320,83.78
240,320,69.05
41,321,97.35
42,321,75.48
7,321,96.93
8,321,84.57
9,321,80.26
34,321,74.94
35,321,87.0
227,321,54.29
228,321,60.34
229,321,50.44
212,322,66.78
213,322,83.86
214,322,80.33
64,322,64.3
65,322,71.74
194,322,95.8
195,322,56.65
165,322,78.11
166,322,68.52
219,323,70.97
220,323,78.41
59,323,91.7
60,323,55.69
201,323,59.39
202,323,63.08
203,323,68.48
157,323,93.36
158,323,95.4
159,323,96.53
144,324,68.71
145,324,91.24
146,324,98.46
39,324,93.73
40,324,53.87
54,324,94.95
55,324,64.59
56,324,55.49
172,324,67.25
173,324,94.98
73,324,85.77
74,324,94.73
39,325,82.11
40,325,77.04
172,325,52.44
173,325,97.58
13,325,86.69
14,325,78.85
46,325,87.87
47,325,86.76
48,325,64.29
184,325,81.9
185,325,53.06
46,326,53.07
47,326,62.1
48,326,67.43
7,326,69.25
8,326,75.45
9,326,53.79
110,326,60.68
111,326,66.51
43,327,76.12
44,327,82.73
45,327,63.72
54,327,82.29
55,327,73.87
56,327,72.9
104,327,67.61
105,327,52.5
64,327,52.1
65,327,81.96
130,328,55.16
131,328,70.17
132,328,96.57
138,328,69.07
139,328,72.37
140,328,74.35
236,328,90.78
237,328,77.45
238,328,51.8
108,328,98.1
109,328,80.41
212,328,57.74
213,328,73.13
214,328,95.59
212,329,55.14
213,329,94.87
214,329,76.36
59,329,77.94
60,329,85.16
172,329,74.19
173,329,55.14
91,329,54.67
92,329,68.29
117,330,96.39
118,330,71.21
95,330,89.94
96,330,98.89
97,330,55.64
66,330,78.44
67,330,73.5
162,330,91.58
163,330,71.93
164,330,78.96
130,331,85.64
131,331,60.1
132,331,59.96
184,331,70.69
185,331,73.82
233,331,52.08
234,331,66.04
235,331,51.4
100,331,98.48
101,331,76.82
239,332,68.75
240,332,62.78
80,332,82.18
81,332,53.35
82,332,67.39
128,332,66.36
129,332,85.28
186,332,77.27
187,332,62.35
91,333,97.59
92,333,99.37
34,333,78.93
35,333,79.66
147,333,88.05
148,333,58.15
149,333,57.96
110,334,70.01
111,334,57.1
15,334,73.41
16,334,88.84
17,334,74.1
54,334,77.98
55,334,53.33
56,334,66.51
176,334,90.72
177,334,96.45
178,334,71.39
125,334,74.24
126,334,93.45
127,334,50.22
34,335,93.75
35,335,60.12
150,335,57.58
151,335,75.77
215,335,60.23
216,335,95.05
224,335,73.1
225,335,73.95
226,335,69.21
122,336,79.63
123,336,90.56
124,336,61.1
100,336,65.83
101,336,81.9
128,336,90.55
129,336,85.51
51,336,58.23
52,336,56.29
53,336,75.89
130,336,97.17
131,336,71.32
132,336,98.41
233,337,50.22
234,337,77.22
235,337,90.91
188,337,97.07
189,337,50.38
190,337,95.8
198,337,96.19
199,337,56.25
200,337,86.1
13,338,50.4
14,338,72.83
80,338,91.43
81,338,77.78
82,338,85.75
112,338,58.35
113,338,74.19
78,338,73.76
79,338,72.79
83,339,87.34
84,339,87.78
85,339,56.04
29,339,88.0
30,339,64.62
31,339,65.95
4,339,84.66
5,339,74.04
6,339,75.2
201,339,69.5
202,339,50.05
203,339,80.13
241,340,50.43
242,340,95.37
243,340,57.32
141,340,52.4
142,340,57.08
143,340,92.88
89,340,57.04
90,340,64.76
80,341,64.51
81,341,60.83
82,341,83.89
91,341,52.59
92,341,86.94
110,341,74.17
111,341,91.08
54,342,83.11
55,342,99.27
56,342,54.7
114,342,80.95
115,342,96.4
116,342,85.59
241,342,71.36
242,342,56.02
243,342,78.98
130,342,81.54
131,342,55.42
132,342,68.24
162,342,80.5
163,342,67.49
164,342,69.94
110,343,88.48
111,343,70.34
75,343,52.03
76,343,80.47
77,343,84.06
46,343,76.2
47,343,61.73
48,343,64.38
7,343,63.3
8,343,50.87
9,343,85.67
198,344,57.62
199,344,96.81
200,344,91.98
236,344,97.25
237,344,99.32
238,344,68.99
167,344,85.63
168,344,59.81
169,344,72.94
93,345,60.01
94,345,84.73
241,345,56.36
242,345,54.41
243,345,53.8
57,345,62.92
58,345,99.2
43,345,85.17
44,345,72.93
45,345,68.09
141,345,64.23
142,345,83.59
143,345,71.07
13,346,88.11
14,346,66.73
184,346,89.43
185,346,79.34
172,346,54.13
