StudentID,CourseCode,AttendanceStatus,Grade
301,MB01,Online,86.82
301,BI02,Offline,92.74
301,MB03,Online,79.51
301,CS04,Offline,68.35
301,CS05,Offline,90.42
302,BI06,Online,68.75
302,PY07,Offline,75.42
302,BI08,Offline,94.71
302,DS09,Online,91.2
303,DS10,Online,87.45
303,CS11,Online,65.89
303,CS12,Online,89.8
304,UX13,Offline,61.14
304,DS14,Offline,74.08
304,PY15,Online,97.08
305,MB16,Online,75.88
305,AI17,Offline,80.32
305,CS18,Online,77.65
306,DS10,Offline,67.76
306,BI19,Online,76.11
306,CS20,Offline,81.18
306,CS12,Offline,80.74
307,MB03,Online,68.78
307,MB01,Online,95.8
307,PY21,Offline,69.55
308,UX13,Offline,64.05
308,CS22,Offline,79.81
308,WD23,Online,91.43
308,PY24,Offline,85.48
308,DV25,Offline,89.36
309,MB26,Offline,94.1
309,CS04,Online,66.81
309,MB03,Online,66.67
310,AI27,Offline,73.36
310,MB16,Online,98.97
310,WD28,Online,66.83
310,TS29,Online,83.76
311,WD28,Offline,64.38
311,WD30,Online,82.69
311,UX31,Offline,93.41
311,PY21,Online,90.2
312,WD32,Offline,79.63
312,AI33,Offline,99.59
312,TS34,Offline,86.54
313,CS05,Offline,88.41
313,MB03,Offline,64.51
313,MB01,Online,65.92
313,MB26,Offline,94.25
314,BI19,Offline,74.38
314,DV35,Online,67.75
314,BI08,Offline,85.55
314,WD28,Offline,95.09
314,PY21,Offline,99.49
315,MB16,Offline,83.57
315,BI36,Offline,72.37
315,MB37,Online,83.18
315,BI38,Offline,93.37
315,MB39,Online,77.34
316,CS04,Online,79.96
316,CS05,Online,78.65
316,BI02,Online,80.93
316,MB01,Offline,84.95
317,MB16,Offline,60.62
317,MB40,Online,68.69
317,TS29,Online,62.13
317,AI27,Offline,60.2
317,WD28,Offline,86.41
318,UX13,Offline,95.15
318,UX41,Online,98.15
318,CS42,Offline,65.71
319,DV25,Online,61.29
319,MB39,Offline,69.95
319,WD43,Offline,76.9
319,AI17,Online,95.72
319,UX31,Offline,83.88
320,MB44,Online,87.33
320,DS45,Online,70.0
320,TS29,Offline,82.17
321,BI08,Online,75.04
321,DS09,Offline,63.84
321,PY07,Offline,87.77
321,TS46,Offline,78.74
322,DV47,Online,96.5
322,AI33,Online,98.3
322,PY48,Offline,63.54
322,UX31,Online,84.61
